Lichess,Bullet,Bullet_Games,Blitz,Blitz_Games,Rapid,Rapid_Games,Classical,Classical_Games,Puzzle_Rating,Puzzles_Played,Storm,Storm_Attempts,Streak,Streak_Attempts,Racer,Racer_Attempts
Meta General,800,20,800,20,1000,20,1000,20,1000,20,10,20,10,20,10,20
matchessbg,1000,20,1000,20,1200,20,1400,20,2000,250,20,25,20,25,30,25
HelloKittyD,1000,20,1000,20,1200,20,1400,20,2000,250,20,25,20,25,30,25
ShaChess007,1000,20,1000,20,1200,20,1400,20,2000,250,20,25,20,25,30,25
AmyBurbuja,1000,20,1000,20,1200,20,1400,20,2000,250,20,25,20,25,30,25
Hermoony,1000,20,1000,20,1200,20,1400,20,2000,250,20,25,20,25,30,25
VegaStarValentina,1000,20,1000,20,1200,20,1400,20,2000,250,20,25,20,25,30,25
